,Question,Category,Source
2298,The author of the novel “Jurassic Park” was responsible for the TV show featuring which character?,Entertainment,hq_buff_us
2299,Which of these is a popular science fiction franchise?,Entertainment,hq_buff_us
2300,What does the internet acronym YMMV mean?,Culture,hq_buff_us
2301,Which instrument can be played pizzicato?,Music,hq_buff_us
2302,What color is chartreuse?,Fine Arts,hq_buff_us
2303,What principle is the first of Isaac Asimov’s three robotics laws concerned with?,Science,hq_buff_us
2304,Ludwig van Beethoven received musical instruction from which of these classic composers?,Music,hq_buff_us
2305,Which NES game was NOT playable with the ROB accessory?,Games,hq_buff_us
2306,Which classic story was written by the co-author of a famous writing guide?,Literature,hq_buff_us
2307,What imaginary African nation is ruled by the comic book hero Black Panther?,Entertainment,hq_buff_us
2308,"In “The Wizard of Oz,” what takes Dorothy to Oz?",Movies,hq_buff_us
2309,What creatures act as the postal service in the “Harry Potter” films?,Movies,hq_buff_us
2310,Which of these songs was featured in a “Rocky” movie?,Music,hq_buff_us
2311,Famed costume designer Patricia Field worked on which of these films?,Fashion & Design,hq_buff_us
2312,Which pair of “Girls Trip” actresses co-starred in a different film more than two decades earlier?,Movies,hq_buff_us
2313,"In the the original 1977 “Star Wars” film, which of these characters says the line, “May the force be with you”?",Movies,hq_buff_us
2314,What does Tom Cruise’s “Risky Business” character do right before his iconic dance scene?,Movies,hq_buff_us
2315,The word “paparazzi” came directly from what classic Italian movie?,Language,hq_buff_us
2316,"In “The Silence of the Lambs,” what does Hannibal Lecter say when meeting Clarice for the first time?",Movies,hq_buff_us
2317,Which of these ocean-themed movies features a bird named after an ’80s action star?,Movies,hq_buff_us
2318,What is the last line of the last “Lord of the Rings” film?,Movies,hq_buff_us
2319,Which of these organizations sets a minimum age of 50 for its members?,Culture,hq_buff_us
2320,What animal is brisket traditionally made from?,Food & Drink,hq_buff_us
2321,Which of these colors is prominent on the current Canadian flag?,Geography,hq_buff_us
2322,"In “Harry Potter” books, a game of Quidditch ends immediately if the seeker does what?",Literature,hq_buff_us
2323,"When lava cools and solidifies, it creates what kind of rock?",Science,hq_buff_us
2324,Which of these albums was released first?,Music,hq_buff_us
2325,Which of these is a fancy synonym to refer to life’s “ups and downs”?,Language,hq_buff_us
2326,In which video game is the Kingdom of Hyrule found?,Games,hq_buff_us
2327,What matching accessory often accompanies a Japanese happi?,Fashion & Design,hq_buff_us
2328,Which of these classic films starred a real-life couple?,Movies,hq_buff_us
2329,Which tech invention was foreseen in the novel “Fahrenheit 451”?,Literature,hq_buff_us
2330,Which of these is a real educational institution in the US?,Business,hq_buff_us
2331,"In the choosing game, players can throw rock, paper, or what?",Games,hq_buff_us
2332,Someone holding a grudge is said to have what on their shoulder?,Language,hq_buff_us
2333,The indentation on the bottom of a wine bottle shares a name with what sports term?,Food & Drink,hq_buff_us
2334,Which “Sesame Street” character’s first name is Aloysius?,TV,hq_buff_us
2335,What is the chemical symbol for the element with the shortest English name?,Science,hq_buff_us
2336,Which Disney animated film has NOT been adapted into a Broadway musical?,Entertainment,hq_buff_us
2337,Which of these geographical features borders the most US states?,Geography,hq_buff_us
2338,"In the Jay-Z song “Empire State of Mind,” which of these New York locations is mentioned by name?",Music,hq_buff_us
2339,Which famously shelf-stable food is made by bees?,Food & Drink,hq_buff_us
2340,"In the entertainment industry, “EGOT” stands for Emmy, Grammy, Oscar, and what?",Entertainment,hq_buff_us
2341,Which of these sports is often played on the beach?,Sports,hq_buff_us
2342,The literary character Don Quixote is also known by what moniker?,Literature,hq_buff_us
2343,"If you have European ancestry, you are almost certainly descended from which of these historical figures?",History,hq_buff_us
2344,"In the movie “Mean Girls,” what do the Plastics say they do on Wednesdays?",Movies,hq_buff_us
2345,What is the term for a visual hallucination triggered by a migraine?,Science,hq_buff_us
2346,Which city is home to one of the holiest sites within Islam?,Geography,hq_buff_us
2347,Which of these federal departments oversees one of the seven uniformed services of the US?,Civics,hq_buff_us
2348,Which Emmy winner made a pre-fame TV appearance as a game show contestant?,TV,hq_buff_us
2349,Which dwarf planet in our solar system passes closest to the Sun?,Science,hq_buff_us
2350,James Cook is credited with bringing “taboo” to the English language from what place?,Language,hq_buff_us
2351,Which of these games is designed to be played by just one person?,Games,hq_buff_us
2352,People who subscribe to see your posts on Instagram are called your what?,Culture,hq_buff_us
2353,Which of these nursery-rhyme animals does NOT usually come in a group of three?,Culture,hq_buff_us
2354,The word “pontiff” is commonly used to refer to what?,Language,hq_buff_us
2355,Which nation’s capital begins and ends with the same letter?,Geography,hq_buff_us
2356,Business magnate Warren Buffett is known as “The Oracle of” what?,Business,hq_buff_us
2357,In which Nintendo game could you successfully use the Konami code?,Games,hq_buff_us
2358,What artist had a brother who released a song titled “I Didn’t Walk the Line”?,Music,hq_buff_us
2359,Which president’s child once received a pet dog from a Soviet leader?,History,hq_buff_us
2360,For which of these roles did Julia Louis-Dreyfus win an Emmy?,TV,hq_buff_us
2361,"Of these three states, which one’s second-biggest city has the greatest population?",Geography,hq_buff_us
2362,Which of these names was originally suggested for the planet Uranus?,Science,hq_buff_us
2363,Which of these vehicles is designed for snow-covered hills?,Tech,hq_buff_us
2364,Who wrote the poem “The Raven”?,Literature,hq_buff_us
2365,Which of these is an Italian fried-dough snack resembling a donut?,Food & Drink,hq_buff_us
2366,"Of these historical accessories, which is worn on a different body part than the other two?",Fashion & Design,hq_buff_us
2367,Which of these is the name of a real animal?,Nature,hq_buff_us
2368,"What rock n roll classic begins with the words, “Well it’s one for the money, two for the show”?",Music,hq_buff_us
2369,Pronounced zygomatic arches can be particularly helpful in which of these professions?,Nature,hq_buff_us
2370,The video game giant Capcom gets its name from a portmanteau of what words?,Games,hq_buff_us
2371,What is the last letter of the English alphabet?,Language,hq_buff_us
2372,Which of these is a popular type of aquarium fish?,Nature,hq_buff_us
2373,"By definition, which of these terms directly refers to the daughter of someone's aunt?",Language,hq_buff_us
2374,The explorer Marco Polo was famous for traveling to what place?,History,hq_buff_us
2375,Which of these would most directly affect someone’s olfactory receptors?,Science,hq_buff_us
2376,Which of these is a real move in the “Macarena” dance?,Entertainment,hq_buff_us
2377,Which of these US first ladies was also the mother of another president?,History,hq_buff_us
2378,The tendency to remember positive memories better than negative ones is known as what?,Science,hq_buff_us
2379,Which of these hit songs was No. 1 on the Billboard charts the longest?,Music,hq_buff_us
2380,A tricycle with two wheels in the front is named for a kind of what?,Tech,hq_buff_us
2381,Which of these musical artists has been to Sesame Street?,Entertainment,hq_buff_us
2382,Which of these world-famous classical structures is the oldest?,History,hq_buff_us
2383,"To avoid a knockout, a boxer has to get up from a knockdown before a count of what?",Sports,hq_buff_us
2384,The most recent NBA MVP plays for which team?,Sports,hq_buff_us
2385,Which turn is most common in NASCAR?,Sports,hq_buff_us
2386,"Among golf’s four majors, what is the only one currently played on the same course every year?",Sports,hq_buff_us
2387,What is the MLB ruling if a catcher’s mitt gets in the way of a hitter’s swing during a pitch?,Sports,hq_buff_us
2388,The person with the most career women’s college basketball wins coached which team?,Sports,hq_buff_us
2389,Which of these refers to a specific kind of golf scoring system?,Sports,hq_buff_us
2390,"Of these leagues, which has been around the longest?",Sports,hq_buff_us
2391,Which of these animals has been part of an Olympic demonstration sport?,Sports,hq_buff_us
2392,Which of these teams has won back-to-back NBA titles?,Sports,hq_buff_us
2393,"Which of these is a World Cup tie-breaker if teams are even on points, goals, and goal differential?",Sports,hq_buff_us
2394,Which of these is NOT a team affiliated with a Major League Baseball franchise?,Sports,hq_buff_us
2395,The mythical Cupid is known to carry around what equipment?,Culture,hq_buff_us
2396,What character is famous for wearing a yellow shirt with a black zigzag?,Fashion & Design,hq_buff_us
2397,What does the word “triceratops” literally translate to?,Nature,hq_buff_us
2398,Which instrument is sometimes recommended by doctors because it encourages deep breathing?,Music,hq_buff_us
2399,"When you order a lobster tail, you're actually getting what part of its body?",Food & Drink,hq_buff_us
2400,"When referred to in a group, which of these birds also describes the UK government?",Nature,hq_buff_us
2401,Which of these is NOT the nickname of a Baseball Hall of Fame player?,Sports,hq_buff_us
2402,What is the capital of the only US state that can be typed with only one row on a QWERTY keyboard?,Geography,hq_buff_us
2403,Which of these is a common nickname for “William”?,Culture,hq_buff_us
2404,Which of these is a structure designed to use gravity to store and distribute liquid?,Science,hq_buff_us
2405,Which of these terms refers to the energy content of food?,Food & Drink,hq_buff_us
2406,What class of animal is a mongoose?,Nature,hq_buff_us
2407,Which of these is a real classification for a larger-than-average film production company?,Movies,hq_buff_us
2408,The dark rings inside tree trunks mainly form during what season?,Nature,hq_buff_us
2409,"Ironic in retrospect, what was the royal motto of Anne Boleyn?",History,hq_buff_us
2410,Which of these words is a synonym for “naive”?,Language,hq_buff_us
2411,Which of these wrestlers has only performed as a good guy?,Sports,hq_buff_us
2412,Which novel is set in a world whose name comes from Germanic mythology?,Literature,hq_buff_us
2413,What was the first Nobel Prize category won by an American?,History,hq_buff_us
2414,Which classic Arthur Miller play has had the most recent Broadway revival?,Entertainment,hq_buff_us
2415,Saucy ground beef served on a bun is known as what kind of “Joe”?,Food & Drink,hq_buff_us
2416,Melissa Joan Hart got her big break playing the title character on what TV show?,TV,hq_buff_us
2417,"In “Double Dare,” kids often had to find an orange flag inside a giant what?",TV,hq_buff_us
2418,"In the lyrics of their 1999 hit, what way did the Backstreet Boys want it?",Music,hq_buff_us
2419,What ’90s teen film was based on the classic Jane Austen novel “Emma”?,Literature,hq_buff_us
2420,What was the nickname crew members used for the slime on “Double Dare”?,TV,hq_buff_us
2421,Which of these popular ’90s accessories was invented by a teacher?,Culture,hq_buff_us
2422,In which of these video games could you enter a code to play as a US president?,Games,hq_buff_us
2423,"Before moving to Orlando, where did “Double Dare” film its episodes?",TV,hq_buff_us
2424,"In “Forrest Gump,” what phrase does Forrest say right before “a box of chocolates”?",Movies,hq_buff_us
2425,Which of these was NOT a frequently featured team on “Legends of the Hidden Temple”?,TV,hq_buff_us
2426,The musician behind the “Rugrats” theme also recorded which of these songs?,Music,hq_buff_us
2427,The ’90s game Pogs got its name from an acronym containing which of these words?,Games,hq_buff_us
2428,The Hubble Telescope was launched into space by what NASA shuttle?,Science,hq_buff_us
2429,"Which Spice Girl sings the first line in the first verse of the group's hit song ""Wannabe""?",Music,hq_buff_us
2430,"In the travel industry, B&B stands for “bed and” what?",Business,hq_buff_us
2431,"What is the typical response to a joke starting with “Knock, knock”?",Culture,hq_buff_us
2432,"According to the famous movie quote, where does nobody put Baby?",Movies,hq_buff_us
2433,How would you wish a French speaker “good luck”?,Language,hq_buff_us
2434,Which of these fashion terms comes from an English town?,Geography,hq_buff_us
2435,"In “Green Eggs and Ham,” Sam-I-Am does NOT mention eating with what animal?",Literature,hq_buff_us
2436,What US city has a transit system called BART?,Geography,hq_buff_us
2437,The original cover of which of these novels features a photograph taken by the author?,Literature,hq_buff_us
2438,Which of these words is considered autological?,Language,hq_buff_us
2439,Which of these Revolutionary War battles happened first?,History,hq_buff_us
2440,Which of these states has NOT hosted a Super Bowl?,Sports,hq_buff_us
2441,A special episode of “Mister Rogers’ Neighborhood” went behind the scenes of what TV show?,TV,hq_buff_us
2442,Whose face is on the US one-dollar bill?,History,hq_buff_us
2443,What did the giant in “Jack and the Beanstalk” famously say?,Literature,hq_buff_us
2444,A motherboard is most often a crucial component of what?,Tech,hq_buff_us
2445,Which bird noise is also a common type of social media post?,Nature,hq_buff_us
2446,Which of these is “an uncooked sauce” that comes in green or red?,Food & Drink,hq_buff_us
2447,Which of these words is an antonym for paucity?,Language,hq_buff_us
2448,Which of these wealthy people has NEVER mounted a US presidential campaign?,History,hq_buff_us
2449,Which was a brand name for 20th-century coin-operated restaurants?,Food & Drink,hq_buff_us
2450,Which nation is also the name of a territory in the board game Risk?,Games,hq_buff_us
2451,What classic TV show opens with music composed by an inventor of the sousaphone?,Entertainment,hq_buff_us
2452,Which school’s campus is technically in a different city than the other two?,Geography,hq_buff_us
2453,Mia Farrow’s mother acted in multiple films based on whose books?,Entertainment,hq_buff_us
2454,What type of court is typically found in shopping malls?,Business,hq_buff_us
2455,"According to an old saying, “necessity is the mother of” what?",Language,hq_buff_us
2456,Who was the first vice president of the United States?,History,hq_buff_us
2457,What popular board game introduced the “Pop-O-Matic” bubble?,Games,hq_buff_us
2458,Which of these shapes has eight corners?,Science ,hq_buff_us
2459,Which of these shows was NOT a spinoff of “Happy Days”?,TV,hq_buff_us
2460,What is Southeast Asia’s only landlocked nation?,Geography,hq_buff_us
2461,"Popular in Europe, bandy is extremely similar to what other sport?",Sports,hq_buff_us
2462,"Using its original dictionary definition, “decimating” 100 apples would leave you with how many?",Language,hq_buff_us
2463,Bonding fructose with glucose will produce which of these things?,Science,hq_buff_us
2464,Bible verses appear in the lyrics of which of these classic ’60s rock songs?,Music,hq_buff_us
2465,Which of these is a real former Academy Award category?,Movies,hq_buff_us
2466,"In NCAA softball, how do pitchers throw to the batter?",Sports,hq_buff_us
2467,Which of these is NOT a common medical condition?,Sports,hq_buff_us
2468,Who is credited with inventing the 720-degree aerial skateboard trick?,Sports,hq_buff_us
2469,What is the name of Luka Doncic’s previous basketball team?,,hq_buff_us
2470,What state’s NFL football team shares a name with Saturn’s largest moon?,Sports,hq_buff_us
2471,"Since 1970, what female golfer has won the most majors?",Sports,hq_buff_us
2472,What positions are involved in baseball’s rare 9-3 putout?,Sports,hq_buff_us
2473,Who has the current record for most singles wins versus Serena Williams?,Sports,hq_buff_us
2474,"After a draft-night trade, what NBA team just landed NCAA basketball’s leading man in both scores and assists last season?",Sports,hq_buff_us
2475,What hockey team has lost the most NHL Winter Classic games?,Sports,hq_buff_us
2476,"By current record, what is the best baseball team that has been no-hit this year?",Sports,hq_buff_us
2477,Which racing series was the first to have a female driver compete at the top level?,Sports,hq_buff_us
2478,A hot dog is what type of food?,Food & Drink,hq_buff_us
2479,What impressive accomplishment was Koko the Gorilla most known for?,Culture,hq_buff_us
2480,Which of these shoe styles typically has no laces?,Fashion & Design,hq_buff_us
2481,Which of these is NOT typically found in modern fiction books?,Literature,hq_buff_us
2482,Which of these is both an English county and a type of sauce?,Geography,hq_buff_us
2483,Which of these retail chains is eponymous?,Business,hq_buff_us
2484,Which of these Yiddish words has a positive connotation?,Language,hq_buff_us
2485,"Who ran the empire of which it was commonly said ""the sun never sets""?",History,hq_buff_us
2486,Which pricing game on “The Price is Right” is loosely based on Yahtzee?,Games,hq_buff_us
2487,"In the 1939 film “The Wizard of Oz,” which of these made two characters fall unconscious?",Movies,hq_buff_us
2488,What constellation includes the brightest star in Earth’s night sky?,Nature,hq_buff_us
2489,"According to historians, in what position did Michelangelo paint the Sistine Chapel’s ceiling?",Fine Arts,hq_buff_us
2490,The day of the year with the most hours of sunlight is known as what?,Culture,hq_buff_us
2491,The dance move where you quickly duck your head into your elbow is called what?,Language,hq_buff_us
2492,Jimmy Buffett sings a famous song about a place based on what beverage?,Music,hq_buff_us
2493,Which of these is another term for a vintner?,Language,hq_buff_us
2494,"If a vinyl record is called a “45,” the 45 refers to its what?",Music,hq_buff_us
2495,"During production, “Return of the Jedi” was briefly known as what?",Movies,hq_buff_us
2496,Which of these is NOT one of the colors of the cards soccer referees can give to players?,Sports,hq_buff_us
2497,Which of these animals is native to North America?,Nature,hq_buff_us
2498,The “G” in the time zone GMT refers to what?,Geography,hq_buff_us
2499,"In the Crimean War, what side fought without another country as its ally?",History,hq_buff_us
2500,Which of these 1990s hit songs features only a single vocalist?,Music,hq_buff_us
2501,Which of these people currently has a holiday that sometimes falls on his actual birthday?,Culture,hq_buff_us
2502,Which of these body parts does a bird usually have?,Nature,hq_buff_us
2503,"Traditionally, where do men and women in the US wear their wedding rings?",Culture,hq_buff_us
2504,Which of these measurement units consists of only 16 ounces?,Science,hq_buff_us
2505,"By definition, an unctuous person gives too many what?",Language,hq_buff_us
2506,Which article of clothing was named after a British general?,Fashion,hq_buff_us
2507,The Who’s rock opera “Tommy” was about a boy who was a phenom at what?,Music,hq_buff_us
2508,The addition of which of these food items makes a salad a “Pittsburgh salad”?,Food & Drink,hq_buff_us
2509,"Air conditioner power is often expressed in BTUs, where the “B” stands for what?",Science,hq_buff_us
2510,Which of these actors turned down the “Die Hard” role that ultimately went to Bruce Willis?,Movies,hq_buff_us
2511,Which of these words was legally trademarked in the 1970s?,Business,hq_buff_us
2512,Which of these islands is NOT located in the Pacific Ocean?,Geography,hq_buff_us
2513,What title has appeared the most times in the Billboard Hot 100?,Music,hq_buff_us
2514,Grammy Awards are given to professionals for excellence in making what?,Music,hq_buff_us
2515,What device is typically used to fill in answers on a Scantron test?,Nature,hq_buff_us
2516,Which of these US traffic signs is usually a triangle?,Culture,hq_buff_us
2517,What do you call a sandy piece of land on top of a coral reef?,Nature,hq_buff_us
2518,Movie “trailers” got their name because they used to play where?,Movies,hq_buff_us
2519,Steampunk is part of what genre?,Literature,hq_buff_us
2520,What word describes a victory that takes so much out of the winner that it’s basically a loss?,Language,hq_buff_us
2521,What was the name of the blog Meghan Markle ran before becoming Duchess of Sussex?,Entertainment,hq_buff_us
2522,Which plant shares its name with the national park created to preserve it?,Nature,hq_buff_us
2523,What film was written by relatives of the president of the Chicago Cubs baseball team?,Movies,hq_buff_us
2524,Which of these instruments is Prince NOT credited as playing on his album “For You”?,Music,hq_buff_us
2525,Which of these Roman emperors had the shortest reign?,History,hq_buff_us
2526,"According to the saying, “you can’t teach an old dog” what?",Language,hq_buff_us
2527,Which of these is NOT a common mattress size?,Culture,hq_buff_us
2528,Marie Curie was the first person to win what twice?,Science ,hq_buff_us
2529,What does the “CC” field in an email stand for?,Language,hq_buff_us
2530,In which of these states can you find some of the Ozarks?,Geography,hq_buff_us
2531,What classic video game was originally a Japanese title called “Yume Kojo: Doki Doki Panic”?,Games,hq_buff_us
2532,Amelia Earhart once ducked out of the White House to fly to Baltimore with which first lady?,History,hq_buff_us
2533,Deltiologists collect what type of mail?,Language,hq_buff_us
2534,Which of these NBA franchises was previously located in Philadelphia?,Sports,hq_buff_us
2535,The “Friends” episode with Ross and Chandler’s college reunion featured an actress who later played what TV doctor?,TV,hq_buff_us
2536,Which of these astronauts was later elected to the US Senate?,History,hq_buff_us
2537,Which of these iconic TV characters did NOT earn its portrayer an Emmy?,TV,hq_buff_us
2538,Which of these usually has eight legs?,Nature,hq_buff_us
2539,"In Ian Fleming’s series of novels, what is the name of the agent assigned the number 007?",Entertainment,hq_buff_us
2540,Which of these pieces of clothing is named for its shape?,Fashion & Design,hq_buff_us
2541,In what sport is the ball misleadingly nicknamed a “pigskin”?,Sports,hq_buff_us
2542,Which of these is featured in South Korea’s national dish?,Food & Drink,hq_buff_us
2543,"In the sport of powerlifting, what type of weight is used in a bench press?",Sports,hq_buff_us
2544,Which of these Bruce Springsteen songs can best be classified as a protest song?,Music,hq_buff_us
2545,Who founded the American Red Cross?,History,hq_buff_us
2546,Which of these activities was NOT named after a real person?,Sports,hq_buff_us
2547,The art technique known as pointillism directly launched what other art movement?,Fine Arts,hq_buff_us
2548,What classic noir movie prominently features the fictional gossip magazine “Hush-Hush”?,Movies,hq_buff_us
2549,The US holiday known as Juneteenth celebrates news that was delivered where in 1865?,History,hq_buff_us
2550,What measurement is a unit of three feet?,Science ,hq_buff_us
2551,Combining blue and yellow paint will result in the creation of what color?,Fine Arts,hq_buff_us
2552,Which of these is one of science’s four fundamental forces?,Science,hq_buff_us
2553,In which of these sports do players use sticks with small nets attached to one end?,Sports,hq_buff_us
2554,Which of these brand names is derived from a nickname for moonshine?,Business,hq_buff_us
2555,What musical act made the phone number 867-5309 famous?,Music,hq_buff_us
2556,What was the name of the first computer to defeat a reigning world chess champion?,Tech,hq_buff_us
2557,Which of these cities has a higher population than the US Army?,Geography,hq_buff_us
2558,Which of these royals has been portrayed in a Best Actress Oscar-winning role?,Movies,hq_buff_us
2559,Fettuccine alfredo is considered a richer version of what Italian dish?,Food & Drink,hq_buff_us
2560,Which of these travel destinations would take you closest to Disappointment Island?,Geography,hq_buff_us
2561,Which of these rap names refers to the artist's uncanny resemblance to a baseball legend?,Music,hq_buff_us
2562,Which of these is typically NOT found in dessert?,Food & Drink,hq_buff_us
2563,"In the 1800s, which of these was a service used to send mail in the US?",History,hq_buff_us
2564,A cummerbund is a waistband sash typically worn with which of these outfits?,Fashion & Design,hq_buff_us
2565,What prop is involved in the playground game “Double Dutch”?,Games,hq_buff_us
2566,"On sunscreen bottles, what does the “F” in SPF stand for?",Science,hq_buff_us
2567,Which of these card games comes from the Spanish word for “basket”?,Games,hq_buff_us
2568,In what desert can you find the Burning Man festival?,Culture,hq_buff_us
2569,What category is at the top of Abraham Maslow’s famous “hierarchy of needs” pyramid?,Culture,hq_buff_us
2570,What US state’s official cartoon character first appeared on local weather segments?,Geography,hq_buff_us
2571,"In the biblical tale, Herod offers Salome whatever she wishes after she does what?",Literature,hq_buff_us
2572,Which of these rivers runs through the fewest countries?,Geography,hq_buff_us
2573,Which of these authors was NOT credited in the 1946 film “The Big Sleep”?,Movies,hq_buff_us
2574,What US state is famous for Louisville Slugger bats?,Sports,hq_buff_us
2575,What word describes the pretend drafts that NBA experts put out this time of year?,Sports,hq_buff_us
2576,Which of these is the name of a real MLB mascot?,Sports,hq_buff_us
2577,"A year ago today, Diana Taurasi became the WNBA’s all-time leader in what category?",Sports,hq_buff_us
2578,When can a baseball inning be called “immaculate”?,Sports,hq_buff_us
2579,"In the NHL, which of these is the most severe penalty?",Sports,hq_buff_us
2580,New member of the International Boxing Hall of Fame Vitali Klitschko now holds what job?,Sports,hq_buff_us
2581,In what state is the College World Series held every year?,Sports,hq_buff_us
2582,Who is the only athlete to win a major in golf and Olympic gold in track and field?,Sports,hq_buff_us
2583,A player on Mexico’s national soccer team just tied a record for most what?,Sports,hq_buff_us
2584,A conspiracy theory claims the NBA rigged the first draft lottery by using what?,Sports,hq_buff_us
2585,Which country has the most men’s rugby Olympic gold medals?,Sports,hq_buff_us
2586,"In the US, what holiday is celebrated on the third Sunday of June?",Culture,hq_buff_us
2587,The person elected to run a city typically has what title?,Culture,hq_buff_us
2588,What are the raised edges on the neck of a standard guitar called?,Music,hq_buff_us
2589,What does the “T” stand for in bank ATMs?,Tech,hq_buff_us
2590,Which of these cooking techniques is typically described as “low and slow”?,Food & Drink,hq_buff_us
2591,Which of these words is an example of onomatopoeia?,Culture,hq_buff_us
2592,"Which of these animals are most closely related to harvestmen, AKA daddy longlegs?",Nature,hq_buff_us
2593,What nation has the world’s lowest population density?,Geography,hq_buff_us
2594,Which of these classic paintings depicts the most people?,Fine Arts,hq_buff_us
2595,Which classic soul singer had a band whose name literally means “dream-invading demons”?,Music,hq_buff_us
2596,Which of these was controversially declared a vegetable in a famous 1890s Supreme Court case?,Food & Drink,hq_buff_us
2597,"In “To Kill a Mockingbird,” what phrase completes the Atticus Finch line, “You rarely win”?",Literature ,hq_buff_us
2598,Which is a real month of the year?,Language,hq_buff_us
2599,Pimento peppers are often found inside which of these things?,Food & Drink,hq_buff_us
2600,"Before acquiring a driver’s license, new drivers typically have to get what?",Culture,hq_buff_us
2601,What term refers to an all-purpose key that can open any lock?,Tech,hq_buff_us
2602,"What phrase completes Edwin Starr’s classic rock lyric, “War, what is it good for?”",Music,hq_buff_us
2603,Which author’s name is NOT a pseudonym?,Literature,hq_buff_us
2604,Which of these temperatures is warmest?,Science ,hq_buff_us
2605,Who compiled what is considered the first modern thesaurus?,Literature ,hq_buff_us
2606,Which university’s flagship campus is located in Philadelphia?,Geography,hq_buff_us
2607,What words are traditionally printed in large type at the bottom of a Ouija board?,Games,hq_buff_us
2608,The natural feature that forms the Vermont/New Hampshire border is named for what other state?,Geography,hq_buff_us
2609,Johnny Cash’s only top-ten single on the Billboard Hot 100 was written by the author of what book?,Entertainment,hq_buff_us
2610,What snack do American children traditionally leave out for Santa Claus?,Culture,hq_buff_us
2611,What is the emergency extra tire kept in a car’s trunk known as?,Tech,hq_buff_us
2612,Animals that only eat plants are called what?,Language,hq_buff_us
2613,Which of these classic books is the longest?,Literature ,hq_buff_us
2614,Which state’s name contains another US state name inside it?,Geography,hq_buff_us
2615,What is the most obvious difference between tortellini and tortelloni?,Food & Drink,hq_buff_us
2616,What musical instrument is played without touching it?,Music,hq_buff_us
2617,Which of these Greek philosophers was born first?,History,hq_buff_us
2618,What was the best-selling Nintendo 64 video game that didn’t have “64” in the title?,Games,hq_buff_us
2619,"In the Bible, who famously learned that ""the Lord gave and the Lord hath taken away""?",Educational,hq_buff_us
2620,What “Weird Al” Yankovic album is titled after the last words sung on it?,Music,hq_buff_us
2621,"Accepting an Oscar in 1985, Sally Field said, “You like me,” followed by what?",Movies,hq_buff_us
2622,What kind of train car typically contains an engine?,Tech,hq_buff_us
2623,What is the NFL penalty for clipping?,Sports,hq_buff_us
2624,Which of these is NOT one of the physical phases of water?,Science ,hq_buff_us
2625,In which food is potato the principal ingredient?,Food & Drink,hq_buff_us
2626,The cartoon aardvark Arthur lives in what fictional town?,Entertainment,hq_buff_us
2627,Which variety of Solitaire is normally played with eight adjacent columns of cards?,Games,hq_buff_us
2628,Who is most likely to be carrying a “challenge coin”?,Culture,hq_buff_us
2629,What US state capitals are separated by the Bitterroot Range?,Geography,hq_buff_us
2630,What 19th-century work famously centers on an item hidden in plain sight?,Literature ,hq_buff_us
2631,Cutting a Möbius strip in half lengthwise gives you what?,Fine Arts,hq_buff_us
2632,The actor behind what “Simpsons” character also did voiceover work on the original “Star Wars” film?,Entertainment,hq_buff_us
2633,The Canary Islands are widely believed to be named after which of these mammals?,Geography,hq_buff_us
2634,Which of these is NOT one-half of the dairy product half-and-half?,Food & Drink,hq_buff_us
2635,The boxing world’s Don King is most famous for being a what?,Sports,hq_buff_us
2636,What is 10 to the sixth power?,Science ,hq_buff_us
2637,Atoms of different substances combine to make what?,Science ,hq_buff_us
2638,Which of these words means “about to happen”?,Language,hq_buff_us
2639,A 1983 arcade game sponsored by a major beverage company asked players to do what?,Games,hq_buff_us
2640,"In “Ferris Bueller’s Day Off,” what city’s NHL jersey does Cameron wear throughout the film?",Movies,hq_buff_us
2641,Which of these universities has a mascot that does NOT represent a living creature?,Sports,hq_buff_us
2642,Which is the title of both a Toni Morrison novel and a Coldplay single?,Entertainment,hq_buff_us
2643,What is the only US state with a unicameral legislature?,Geography,hq_buff_us
2644,Which CSI spinoff used The Who’s “Baba O’Riley” as its theme song?,TV,hq_buff_us
2645,Which has been the last name of only one US Supreme Court Justice?,History,hq_buff_us
2646,Which of these famous fictional characters is a feline?,Entertainment,hq_buff_us
2647,"On a map, the edges of a city block are usually bordered by what?",Geography,hq_buff_us
2648,What is the main ingredient in traditional guacamole?,Food & Drink,hq_buff_us
2649,What earth science specifically focuses on studying rocks?,Science ,hq_buff_us
2650,"By definition, which of these measurement terms describes the greatest amount?",Language,hq_buff_us
2651,Who was the subject of a painting titled “Self-Portrait with Bandaged Ear”?,Fine Arts,hq_buff_us
2652,What term refers to the semi-private rooms in old Irish pubs?,Language,hq_buff_us
2653,"By magnitude, the most powerful earthquake ever recorded mostly hit what country?",,hq_buff_us
2654,Wiz Khalifa’s first No. 1 hit was inspired by what city’s sports teams?,Music,hq_buff_us
2655,Which of these US states was NOT a British colony first?,History,hq_buff_us
2656,Which director got his professional start by shooting short films for a PBS star?,TV,hq_buff_us
2657,"In a list of all US state names, which of these letters appears the fewest times?",Geography,hq_buff_us
2658,"In football, what word commonly follows, “Hut, hut…”?",Sports,hq_buff_us
2659,Which Olympic event involves athletes hurling themselves over a bar?,Sports,hq_buff_us
2660,"After the 2018 NBA Finals concluded, LeBron admitted he was suffering from what?",Sports,hq_buff_us
2661,"Out of the 30 current MLB managers, most played which position as players?",Sports,hq_buff_us
2662,"For this year’s US Open, Tiger Woods made the non-traditional choice to stay where?",Sports,hq_buff_us
